timestamp_monotonic,timestamp_utc,tag_id,center_x_px,center_y_px,area_px2,x_m,y_m,z_m,distance_m,reprojection_error_px,decision_margin,hamming,valid
18282.173294203,2026-08-05T10:36:17.251919+00:00,0,778.5872802734375,527.3816528320312,515711.7288594404,0.08340245278320821,0.016748339238917546,1.29883874924088,1.3016215166196088,9.620910407518095e-06,76.8446273803711,0,True
18282.367294336,2026-08-05T10:36:17.445918+00:00,0,778.6064453125,527.355712890625,515635.4799149961,0.08344385184242592,0.016728114115940166,1.2994020649172564,1.3021860207064913,1.0255963749610618e-05,77.11546325683594,0,True
18282.535957993,2026-08-05T10:36:17.614581+00:00,0,778.6514892578125,527.268798828125,515665.3500203211,0.08346783573911576,0.01669855676776423,1.2995639032266246,1.302348670660326,1.0438571032342187e-05,76.59639739990234,0,True
18282.703082224,2026-08-05T10:36:17.781705+00:00,0,778.7307739257812,527.1444091796875,515476.0115988068,0.08349396882826343,0.0166726579125954,1.299649947589363,1.302435874283874,1.0423266139800881e-05,77.2315673828125,0,True
18282.869037339,2026-08-05T10:36:17.947661+00:00,0,778.7708740234375,527.038330078125,515348.8227082966,0.08351373363064786,0.01664702004561483,1.2997780075425434,1.302564599500767,1.0268685389153417e-05,77.37255096435547,0,True
18283.03654814,2026-08-05T10:36:18.115172+00:00,0,778.7030029296875,527.0032348632812,515359.55250880355,0.0834979416628095,0.016635635400186907,1.2998341562191156,1.302619470260196,1.0283114414246462e-05,76.2066879272461,0,True
18283.202758382,2026-08-05T10:36:18.281380+00:00,0,778.5332641601562,527.0850830078125,515400.5748045319,0.08343394048612852,0.01666410546439079,1.2995192227270667,1.3023014724222386,1.0183591717940463e-05,76.26498413085938,0,True
18283.369501432,2026-08-05T10:36:18.448124+00:00,0,778.3997802734375,527.0997924804688,515512.11370462226,0.08338808204167249,0.01666700154009733,1.2993647766689085,1.3021444558937263,1.0192031590095486e-05,74.82771301269531,0,True
18283.540145473,2026-08-05T10:36:18.618768+00:00,0,778.4922485351562,526.971435546875,515572.0862984462,0.08341273644144122,0.016630833133159596,1.2993100009993053,1.3020909138413366,1.0460199430693878e-05,71.75758361816406,0,True
18283.711379452,2026-08-05T10:36:18.790002+00:00,0,778.6289672851562,526.9212646484375,515499.51378734945,0.08347063007669694,0.016609992963612406,1.2997234687973214,1.3025069417451078,1.029996093071242e-05,74.21786499023438,0,True
18283.882154473,2026-08-05T10:36:18.960778+00:00,0,778.6102294921875,526.9566040039062,515421.0242733869,0.08343630695624547,0.016637176593050276,1.2992830885458633,1.30206565009018,9.666860928913194e-06,73.47647857666016,0,True
18284.048156458,2026-08-05T10:36:19.126780+00:00,0,778.61767578125,526.964111328125,515407.0216391797,0.08344350595255595,0.016636776267568047,1.2993773600093612,1.3021601762898174,9.89296786736628e-06,72.62715911865234,0,True
18284.218777647,2026-08-05T10:36:19.297401+00:00,0,778.5904541015625,526.9602661132812,515383.75939978287,0.08343801405068355,0.016636367718705324,1.2994022208265392,1.3021846268515598,9.750594470563992e-06,73.58086395263672,0,True
18284.392068639,2026-08-05T10:36:19.470691+00:00,0,778.5379638671875,527.00732421875,515349.5852432593,0.08341943896328746,0.016652055029571348,1.299336207292209,1.3021177647640632,9.962949134097086e-06,73.55042266845703,0,True
18284.560108952,2026-08-05T10:36:19.638732+00:00,0,778.560546875,526.9851684570312,515369.3417846742,0.08343219482571629,0.01664398581344746,1.2993700414567473,1.302152240727828,9.916801781498776e-06,73.9805679321289,0,True
18284.728571611,2026-08-05T10:36:19.807195+00:00,0,778.5355834960938,527.0216064453125,515329.0608537474,0.08341807793416521,0.016658182588554067,1.2992937582825732,1.3020753976192923,9.721188827578493e-06,73.68070220947266,0,True
18284.899792072,2026-08-05T10:36:19.978415+00:00,0,778.6283569335938,526.980712890625,515367.09132598457,0.08344172672317597,0.016646036799535906,1.2992718868930784,1.3020549329311637,9.861545753731282e-06,74.71075439453125,0,True
18285.071245844,2026-08-05T10:36:20.149869+00:00,0,778.5665893554688,527.0274658203125,515316.6790570242,0.08343777676267582,0.016654738367017856,1.2994823931194766,1.302264847459492,1.0025533965844191e-05,74.9345932006836,0,True
18285.241590444,2026-08-05T10:36:20.320213+00:00,0,778.570068359375,526.994384765625,515341.5837664262,0.08343307471432562,0.016647735238039762,1.2993999073731737,1.3021821471385078,9.631362883536476e-06,74.32859802246094,0,True
18285.408336495,2026-08-05T10:36:20.486960+00:00,0,778.5911865234375,527.0015258789062,515347.755989566,0.08343916444321481,0.016649773086180583,1.2993737227110975,1.3021564346801422,9.748790140620276e-06,74.53409576416016,0,True
18285.572635242,2026-08-05T10:36:20.651259+00:00,0,778.5677490234375,527.0182495117188,515371.1149199237,0.0834241534977813,0.016656576609759895,1.2992522003741356,1.3020342972088759,9.68844845728072e-06,74.11155700683594,0,True
18285.744378011,2026-08-05T10:36:20.823001+00:00,0,778.586669921875,527.052978515625,515312.68805155926,0.08344573086903491,0.016660430788329347,1.2995159438678723,1.302298908976402,1.016909338702322e-05,74.91206359863281,0,True
18285.915719359,2026-08-05T10:36:20.994343+00:00,0,778.583251953125,527.0484008789062,515329.50510255666,0.08342576431996297,0.01666717764866139,1.2992334337054332,1.302015809512754,9.768012130148186e-06,74.93387603759766,0,True
18286.086014312,2026-08-05T10:36:21.164637+00:00,0,778.5726928710938,527.049072265625,515410.61557965283,0.0834196926487486,0.016665169767007323,1.299166156529124,1.3019482613666455,9.742431485290537e-06,74.12528228759766,0,True
18286.254206827,2026-08-05T10:36:21.332829+00:00,0,778.553955078125,527.0441284179688,515333.3956812518,0.08343029935687,0.01666005704386621,1.2994240418347347,1.3022062098030405,9.948607694461968e-06,75.41028594970703,0,True
18286.423638642,2026-08-05T10:36:21.502261+00:00,0,778.566650390625,527.0169677734375,515400.4466494215,0.08343258250735094,0.016651602658732504,1.2993543031556714,1.302136658275202,9.782348002434204e-06,75.12735748291016,0,True
18286.591255368,2026-08-05T10:36:21.669878+00:00,0,778.5517578125,527.0358276367188,515386.72572545987,0.0834207961928358,0.016659929095904934,1.2992678434733895,1.3020497346718056,9.788334096504709e-06,74.89529418945312,0,True
18286.760398872,2026-08-05T10:36:21.839022+00:00,0,778.5618286132812,527.0458984375,515356.9776765136,0.08343178435491906,0.016660330661399367,1.2993891360298535,1.302171477222106,9.928728940175289e-06,75.07109832763672,0,True
18286.928396074,2026-08-05T10:36:22.007019+00:00,0,778.5330810546875,527.048095703125,515374.2744256959,0.0834224419155943,0.01666113846429185,1.299344303961414,1.3021261527160333,9.960474079076714e-06,75.21229553222656,0,True
18287.097155083,2026-08-05T10:36:22.175778+00:00,0,778.5545654296875,527.0557861328125,515371.2336592381,0.08342093877289648,0.0166667943980941,1.2992377476098036,1.3020198001088368,9.683940640828431e-06,74.67854309082031,0,True
18287.261799715,2026-08-05T10:36:22.340423+00:00,0,778.514892578125,527.0549926757812,515398.46446986776,0.08340187671000385,0.016669036661293397,1.29910993128074,1.3018910643268948,9.66749744424506e-06,74.9281234741211,0,True
18287.427860737,2026-08-05T10:36:22.506483+00:00,0,778.5103759765625,527.044921875,515413.86202726257,0.08340674119386737,0.01666237750545167,1.2992324146305703,1.3020135124212409,9.62112525856422e-06,74.74217224121094,0,True
18287.598218708,2026-08-05T10:36:22.676841+00:00,0,778.5155029296875,527.0462646484375,515383.42045734543,0.08341544193903981,0.01666090898379028,1.2993344383973784,1.3021158568451128,9.88586875243804e-06,73.9637451171875,0,True
18287.766918421,2026-08-05T10:36:22.845542+00:00,0,778.5137939453125,527.0518188476562,515366.85034726793,0.0834194704008565,0.016661439948441013,1.2994035773873676,1.3021851130120492,9.647368576873972e-06,74.89759063720703,0,True
18287.934641701,2026-08-05T10:36:23.013264+00:00,0,778.55322265625,527.0400390625,515396.4082709574,0.08342602616965088,0.016657878570768916,1.2993413406651073,1.3021233836784962,1.011564327640165e-05,75.11351013183594,0,True
18288.10747518,2026-08-05T10:36:23.186098+00:00,0,778.5413818359375,527.0247802734375,515388.9654523602,0.08341825597144392,0.016656738141514523,1.299281190417653,1.3020628495306767,9.655201379652898e-06,73.82786560058594,0,True
18288.277514655,2026-08-05T10:36:23.356138+00:00,0,778.5478515625,526.9702758789062,515446.0756963,0.08342387352163821,0.016636724744460585,1.2993790600913773,1.302160614166904,9.77794506689635e-06,73.98262786865234,0,True
18288.448829448,2026-08-05T10:36:23.527452+00:00,0,778.5245361328125,527.0079345703125,515369.2394835579,0.08341313764986578,0.01665260015435241,1.2993047592822264,1.3020859872212514,9.745228566975075e-06,73.51468658447266,0,True
18288.618974329,2026-08-05T10:36:23.697597+00:00,0,778.5196533203125,526.98974609375,515424.02285485435,0.08341590985727686,0.01664401842660082,1.2993377255449094,1.3021189509376325,9.689357526406069e-06,73.14960479736328,0,True
18288.788575698,2026-08-05T10:36:23.867198+00:00,0,778.4994506835938,526.9888305664062,515386.7300315725,0.08341140303680568,0.0166451166433492,1.2993449226701,1.302125858023412,9.789654015461187e-06,73.40773010253906,0,True
18288.959314054,2026-08-05T10:36:24.037936+00:00,0,778.5311279296875,526.9615478515625,515393.27522788197,0.08341081079269119,0.01664149565415973,1.2992231673859604,1.3020042785671286,9.609395922730916e-06,73.15403747558594,0,True
18289.125738943,2026-08-05T10:36:24.204361+00:00,0,778.51904296875,526.9703369140625,515364.1195667314,0.083409321147345,0.016643924196162268,1.2992621679646839,1.3020431314557896,9.795010635377789e-06,73.84368896484375,0,True
18289.296456965,2026-08-05T10:36:24.375080+00:00,0,778.5225830078125,526.9699096679688,515296.64395965915,0.08341761489504183,0.016645100939251582,1.2993213708020412,1.3021027541952865,9.70961990380047e-06,73.36234283447266,0,True
18289.464486539,2026-08-05T10:36:24.543110+00:00,0,778.5413818359375,526.90380859375,515407.4617731015,0.08341826404089683,0.016623747346972785,1.299283807377587,1.3020650397983395,9.63028866837065e-06,73.53118896484375,0,True
