timestamp_monotonic,timestamp_utc,tag_id,center_x_px,center_y_px,area_px2,x_m,y_m,z_m,distance_m,reprojection_error_px,decision_margin,hamming,valid
18604.422592561,2026-08-05T10:41:39.501218+00:00,0,721.9329833984375,589.631103515625,514384.3676023453,0.06758304907851129,0.033335238546680225,1.2984802485100764,1.3006650846480434,7.342859866994118e-06,74.42496490478516,0,True
18604.673301396,2026-08-05T10:41:39.751924+00:00,0,724.0665283203125,587.5617065429688,514317.31979618594,0.06817894660396717,0.03278904928144257,1.2984982100511817,1.3007002314211105,7.4475390028442836e-06,74.84233856201172,0,True
18604.848442631,2026-08-05T10:41:39.927066+00:00,0,722.814697265625,588.574951171875,514330.42591343354,0.06782737999509242,0.03305705891392426,1.298515921030502,1.3007063157341592,7.503168281532595e-06,74.3038101196289,0,True
18605.027194472,2026-08-05T10:41:40.105816+00:00,0,727.689453125,582.9990844726562,514522.48488437105,0.06919126451627752,0.03156649527105446,1.29863837309648,1.300863366686806,7.845444279537656e-06,75.59556579589844,0,True
18605.197648151,2026-08-05T10:41:40.276270+00:00,0,729.854248046875,580.93603515625,514496.3961645684,0.06979429461610266,0.031021087169184194,1.2985872260654763,1.3008314014931166,7.83690839030295e-06,76.00718688964844,0,True
18605.363341533,2026-08-05T10:41:40.441964+00:00,0,731.7903442382812,579.3199462890625,514414.5024632388,0.07035764184009848,0.030588382092450656,1.299051109094019,1.3013145780028497,8.071691002141768e-06,76.17781829833984,0,True
18605.5290816,2026-08-05T10:41:40.607703+00:00,0,733.1979370117188,577.929443359375,514521.95373926475,0.07073636112352408,0.030222524342369987,1.298522561381397,1.3007989376452946,7.792210840300396e-06,75.0550765991211,0,True
18605.700585266,2026-08-05T10:41:40.779208+00:00,0,734.67822265625,576.5348510742188,514780.2645167266,0.0711398991729517,0.029841545973186136,1.2984085992641161,1.3006983869304258,8.258172416520075e-06,74.65425872802734,0,True
18605.864321542,2026-08-05T10:41:40.942943+00:00,0,735.9028930664062,575.4892578125,514879.9139679633,0.07148135799612922,0.029560452442607514,1.2983458045267493,1.300648005042792,8.242194259071387e-06,74.50732421875,0,True
18606.02856907,2026-08-05T10:41:41.107190+00:00,0,736.726318359375,574.7350463867188,514917.79013208207,0.07171338201753498,0.029358040916653314,1.2983579392931017,1.3006683060074489,8.416984658887035e-06,74.72351837158203,0,True
18606.195857693,2026-08-05T10:41:41.274479+00:00,0,737.81396484375,573.7677001953125,514999.7000775365,0.0719994238523199,0.02910338625422591,1.2980885565980802,1.3004094835464004,7.967991066498039e-06,75.6116943359375,0,True
18606.361126433,2026-08-05T10:41:41.439749+00:00,0,738.7640380859375,573.083984375,514929.4137326791,0.07226358981893276,0.02892471409078458,1.2981495643458827,1.3004810482702767,7.973277640585127e-06,74.76368713378906,0,True
18606.529432581,2026-08-05T10:41:41.608055+00:00,0,739.7744140625,572.23193359375,515046.03551991587,0.07254166528901877,0.028694764155769437,1.2981034959465299,1.300445450175232,7.701154957581453e-06,75.03691101074219,0,True
18606.690898179,2026-08-05T10:41:41.769520+00:00,0,740.7448120117188,571.4943237304688,514858.794495272,0.07283703578971357,0.028498790253728066,1.2985801313386323,1.3009334234833148,8.17583280942677e-06,76.57345581054688,0,True
18606.849187389,2026-08-05T10:41:41.927809+00:00,0,741.6535034179688,570.769775390625,514827.28456304176,0.07309705348998344,0.02830497071015484,1.2987294231628468,1.3010927965309473,8.472436490330253e-06,77.79222106933594,0,True
18607.013770395,2026-08-05T10:41:42.092393+00:00,0,742.5630493164062,570.0414428710938,514804.7066045804,0.0733539919199479,0.02811162145569232,1.2987935522397955,1.3011670771776875,8.605559200574436e-06,77.72681427001953,0,True
18607.169256656,2026-08-05T10:41:42.247878+00:00,0,743.3505859375,569.416259765625,514895.10292761074,0.07356455839740025,0.027944017764663067,1.2986962824014967,1.3010782629436648,8.402158470598684e-06,78.2951889038086,0,True
18607.32983132,2026-08-05T10:41:42.408452+00:00,0,744.04248046875,568.8095703125,514854.2515240887,0.07375121353572936,0.027789591105695843,1.2984539920630327,1.3008436771481193,8.086178646465263e-06,78.78819274902344,0,True
18607.490859701,2026-08-05T10:41:42.569482+00:00,0,744.5672607421875,568.3574829101562,514928.2757871179,0.07390180739283772,0.02766224348998535,1.2986852672444693,1.3010803588590008,8.206944204404468e-06,77.18307495117188,0,True
18607.658295008,2026-08-05T10:41:42.736917+00:00,0,745.1307373046875,567.81201171875,514957.6457695216,0.07404510681030964,0.027522469561753308,1.298378325021417,1.3007791661380297,7.864148721725625e-06,77.14082336425781,0,True
18607.825389615,2026-08-05T10:41:42.904011+00:00,0,745.8590087890625,567.0977172851562,514887.26362061035,0.07425668535237864,0.027334583505643016,1.2984270907007025,1.3008359407090655,7.99038798887337e-06,76.56391143798828,0,True
18607.991734008,2026-08-05T10:41:43.070355+00:00,0,746.62255859375,566.4461669921875,514715.8520743586,0.07450219868233394,0.02715754699850124,1.29902398287978,1.30144205328717,8.489664307359162e-06,77.02159118652344,0,True
18608.157548575,2026-08-05T10:41:43.236170+00:00,0,747.1922607421875,565.905517578125,514713.86480312515,0.07464836917958353,0.027019232796760703,1.2988033505239465,1.3012273288301035,8.128001961143461e-06,75.81082916259766,0,True
